AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Halappa Setty,48,M,A1
2,3,Boregowda Kumar,65,M,A1
3,4,Rajesh Setty,55,M,A1
4,4,Ramesh Nayak,49,M,A2
5,5,Devamma Kumar,33,F,A1
6,5,Halappa Setty,26,M,A2
7,6,Siddappa,19,M,A1
8,7,Mahesh,39,M,A1
9,8,Malathi Achar,44,F,A1
10,8,Shobha,21,F,A2
11,9,Nandini,26,F,A1
12,11,Savitha,57,F,A1
13,11,Halappa Naik,55,M,A2
14,12,Ramesh Gowda,18,M,A1
15,13,Lakshmi Bhat,54,F,A1
16,13,Shivakumar Nayak,38,M,A2
17,13,Lakshmi Setty,46,F,A3
18,14,Vani Hegde,58,F,A1
19,14,Suresh Poojary,44,M,A2
20,14,Yamuna Bhat,50,F,A3
21,15,Sharath,38,M,A1
22,15,Sharath Kamath,52,M,A2
23,16,Puttamma,29,F,A1
24,18,Jayanthi,44,F,A1
25,19,Ramesh,37,M,A1
26,19,Naveen Shetty,22,M,A2
27,19,Vani Kamath,64,F,A3
28,20,Ramesh Rao,37,M,A1
29,21,Shailaja Reddy,41,F,A1
30,22,Usha Kamath,43,F,A1
31,23,Ravindra Naidu,18,M,A1
32,23,Radha Rao,51,F,A2
33,23,Savitha Bhat,46,F,A3
34,23,Ramesh,56,M,A4
35,24,Mohan,48,M,A1
36,24,Girish Shetty,58,M,A2
37,25,Ganesh Hegde,21,M,A1
38,26,Pushpa Nayak,53,F,A1
39,26,Basavaraj Setty,31,M,A2
40,27,Halappa Rao,39,M,A1
41,28,Deepa Reddy,35,F,A1
42,28,Naveen Naidu,37,M,A2
43,28,Sharath Hegde,33,M,A3
44,28,Shailaja Gowda,46,F,A4
45,29,Lokesh Hegde,42,M,A1
46,29,Mahesh Setty,34,M,A2
47,30,Rekha Gowda,31,F,A1
48,31,Harish,29,M,A1
49,31,Basavaraj Shetty,54,M,A2
50,31,Vinod Poojary,31,M,A3
51,32,Puneeth,31,M,A1
52,33,Byrappa Naik,22,T,A1
53,35,Pushpa Shetty,64,F,A1
54,36,Siddappa,55,M,A1
55,36,Mohan Naik,50,M,A2
56,37,Basavaraj Kamath,35,M,A1
57,37,Puttaswamy Shetty,62,M,A2
58,37,Manjunath Hegde,46,M,A3
59,37,Ravindra Achar,52,M,A4
60,39,Mohan Kamath,50,M,A1
61,40,Girish Iyengar,31,M,A1
62,41,Byrappa Achar,38,M,A1
63,42,Vani Iyengar,65,F,A1
64,43,Ravindra,18,M,A1
65,44,Pushpa Rao,42,F,A1
66,44,Naveen Reddy,19,M,A2
67,45,Harish Kumar,40,M,A1
68,46,Puneeth,37,M,A1
69,47,Nagamma Naik,62,F,A1
70,47,Manjunath Iyengar,35,M,A2
71,48,Shailaja Kumar,60,F,A1
72,49,Geetha Gowda,22,F,A1
73,50,Bhagya Bhat,31,F,A1
74,51,Krishnappa Nayak,54,M,A1
75,52,Boregowda Bhat,50,M,A1
76,52,Srinivas Kumar,59,M,A2
77,53,Byrappa Bhat,56,M,A1
78,54,Ramesh Kamath,31,M,A1
79,54,Devamma,52,F,A2
80,55,Lokesh,62,M,A1
81,56,Ramesh Naidu,46,M,A1
82,57,Usha Shetty,60,F,A1
83,58,Chandru Bhat,35,M,A1
84,59,Ravindra Hegde,52,M,A1
85,59,Vijay Achar,29,M,A2
86,60,Malathi Shetty,50,F,A1
87,60,Sharath Hegde,52,M,A2
88,61,Sanjay Naidu,54,M,A1
89,61,Jayanthi Shetty,51,F,A2
90,62,Byrappa,51,M,A1
91,63,Mohan Gowda,19,M,A1
92,63,Deepa Shetty,29,T,A2
93,64,Prasad Rao,24,M,A1
94,64,Nagamma Kamath,64,F,A2
95,65,Krishnappa Gowda,38,M,A1
96,66,Nagamma Reddy,65,T,A1
97,66,Roopa,18,F,A2
98,67,Bhagya Shetty,26,F,A1
99,68,Cheluvamma Poojary,25,F,A1
100,69,Harish,27,M,A1
101,69,Anitha,41,F,A2
102,71,Nagaraj Shetty,25,M,A1
103,72,Vani Rao,21,F,A1
104,73,Anitha Kumar,26,F,A1
105,73,Halappa Naik,48,M,A2
106,74,Nagamma Poojary,42,F,A1
107,75,Malathi Kamath,59,F,A1
108,76,Usha Achar,45,F,A1
109,76,Rajesh Kamath,20,M,A2
110,78,Prakash Reddy,42,M,A1
111,79,Prakash Setty,61,M,A1
112,79,Lokesh Setty,27,M,A2
113,81,Malathi Shetty,61,F,A1
114,82,Basamma,39,F,A1
115,83,Devamma Achar,64,F,A1
116,83,Siddappa Bhat,34,M,A2
117,84,Jayanthi Hegde,40,F,A1
118,84,Manjula,42,F,A2
119,85,Puneeth,63,M,A1
120,86,Geetha Kamath,60,F,A1
121,86,Boregowda Naik,65,M,A2
122,86,Chandrappa Iyengar,38,M,A3
123,87,Manjula Nayak,55,F,A1
124,88,Devamma Setty,38,F,A1
125,89,Deepa Bhat,55,F,A1
126,89,Puttamma Gowda,44,F,A2
127,90,Geetha Nayak,61,F,A1
128,91,Puttaswamy Poojary,19,M,A1
129,92,Malathi Naidu,32,F,A1
130,92,Halappa Hegde,59,M,A2
131,93,Siddappa Bhat,41,M,A1
132,95,Sanjay Poojary,42,M,A1
133,96,Cheluvamma Hegde,19,F,A1
134,96,Nagaraj Setty,42,M,A2
135,96,Shailaja Achar,60,F,A3
136,96,Mahesh,34,M,A4
137,97,Chandru Bhat,21,M,A1
138,99,Sunitha Kumar,35,F,A1
139,100,Anitha Naik,57,F,A1
140,100,Lakshmi Naik,51,F,A2
141,101,Halappa Shetty,36,M,A1
142,102,Roopa Achar,45,F,A1
143,102,Chandru,28,M,A2
144,103,Malathi,39,F,A1
145,104,Siddappa Iyengar,42,M,A1
146,105,Bhagya Setty,50,F,A1
147,105,Puttamma Naik,29,F,A2
148,106,Ganesh Naidu,25,M,A1
149,106,Yogesh Poojary,37,M,A2
150,107,Muniraju Iyengar,41,M,A1
151,108,Lokesh Hegde,61,M,A1
152,110,Mahesh Hegde,21,M,A1
153,112,Bhagya Reddy,28,F,A1
154,112,Srinivas Nayak,41,M,A2
155,113,Ravindra Rao,28,M,A1
156,113,Jayanthi,21,F,A2
157,114,Lokesh Naik,57,M,A1
158,115,Ravindra Naidu,21,M,A1
159,115,Naveen Kumar,26,M,A2
160,115,Basavaraj Naik,63,M,A3
161,115,Vani,41,F,A4
162,115,Mahesh,27,M,A5
163,116,Usha Bhat,54,F,A1
164,117,Anand Poojary,49,M,A1
165,118,Yamuna Naik,53,F,A1
166,118,Harish Naidu,30,M,A2
167,120,Puneeth Rao,65,M,A1
168,121,Shobha Naidu,58,F,A1
169,122,Mohan Iyengar,39,M,A1
170,122,Pushpa,61,F,A2
171,123,Chandrappa Rao,33,M,A1
172,124,Lokesh Naik,29,M,A1
173,125,Ravindra Achar,50,M,A1
174,125,Basavaraj Gowda,47,M,A2
175,125,Puneeth Bhat,27,M,A3
176,125,Usha,35,F,A4
177,125,Geetha Poojary,26,F,A5
178,126,Devamma Shetty,29,F,A1
179,128,Anand Gowda,44,M,A1
180,129,Suresh Kumar,31,M,A1
181,130,Sunitha Naik,54,F,A1
182,131,Naveen Naidu,26,T,A1
183,132,Suresh Reddy,58,M,A1
184,133,Vani Naik,34,F,A1
185,134,Roopa Iyengar,18,F,A1
186,135,Shobha Reddy,49,F,A1
187,136,Boregowda Setty,38,M,A1
188,137,Krishnappa Naidu,24,M,A1
189,137,Yamuna Kumar,46,F,A2
190,138,Halappa Rao,65,T,A1
191,140,Nagaraj Setty,65,M,A1
192,140,Nandini,34,F,A2
193,142,Devamma Achar,64,F,A1
194,142,Ravindra Poojary,47,M,A2
195,143,Puttaswamy Gowda,29,M,A1
196,144,Basamma Kumar,35,F,A1
197,144,Nagaraj Achar,42,M,A2
198,144,Yamuna Rao,45,F,A3
199,144,Suresh,29,M,A4
200,145,Yamuna,22,F,A1
201,146,Basamma Naidu,58,F,A1
202,149,Gowramma Naik,22,F,A1
203,149,Prakash,32,M,A2
204,150,Prakash,34,M,A1
205,151,Suresh Naik,45,M,A1
206,151,Kavitha Achar,31,F,A2
207,152,Nagaraj Kamath,53,M,A1
208,153,Deepa Naidu,50,F,A1
209,155,Naveen Nayak,64,M,A1
210,156,Puneeth Kamath,27,M,A1
211,156,Siddappa,38,M,A2
212,157,Sanjay,20,M,A1
213,158,Vijay Naidu,22,M,A1
214,160,Lakshmi Kumar,18,F,A1
215,161,Manjula Hegde,48,F,A1
216,162,Girish Nayak,62,M,A1
217,162,Byrappa Naik,19,M,A2
218,163,Yamuna Bhat,60,F,A1
219,164,Prakash Rao,41,M,A1
220,165,Radha Rao,46,T,A1
221,166,Gowramma Setty,28,F,A1
222,166,Kavitha Naidu,47,F,A2
223,166,Anitha Naik,56,F,A3
224,166,Suresh Kumar,31,M,A4
225,167,Girish Naik,23,M,A1
226,167,Manjula Shetty,27,F,A2
227,168,Sanjay Nayak,38,M,A1
228,169,Vinod Gowda,22,M,A1
229,169,Savitha Rao,33,F,A2
230,170,Malathi Naik,26,F,A1
231,170,Harish Setty,62,M,A2
232,171,Byrappa Achar,58,M,A1
233,172,Shobha Kamath,29,F,A1
234,172,Yamuna Kumar,21,F,A2
235,173,Girish Hegde,48,M,A1
236,174,Krishnappa Setty,65,M,A1
237,175,Shobha Setty,20,F,A1
238,176,Manjula Iyengar,32,F,A1
239,176,Ramesh,43,T,A2
240,176,Mohan,46,M,A3
241,177,Mahesh Iyengar,58,M,A1
242,177,Ravindra Gowda,32,M,A2
243,177,Savitha Setty,28,F,A3
244,178,Prasad Gowda,31,M,A1
245,179,Halappa,53,M,A1
246,179,Shivakumar Achar,28,M,A2
247,180,Basavaraj Hegde,48,M,A1
248,180,Vani Reddy,48,F,A2
249,181,Puttaswamy Shetty,35,M,A1
250,182,Nandini Rao,23,F,A1
251,183,Manjunath Poojary,63,M,A1
252,184,Prasad,36,M,A1
253,184,Puneeth Naidu,25,M,A2
254,185,Anand Kamath,48,M,A1
255,185,Geetha Reddy,49,F,A2
256,186,Gowramma Setty,45,F,A1
257,187,Krishnappa Kamath,36,M,A1
258,188,Vijay,20,M,A1
259,189,Ramesh Rao,33,M,A1
260,190,Puttaswamy,37,M,A1
261,192,Kavitha Shetty,22,F,A1
262,192,Vinod Nayak,51,M,A2
263,193,Kavitha Rao,50,F,A1
264,194,Naveen Naidu,65,M,A1
265,195,Nagamma,62,F,A1
266,196,Shivakumar Setty,48,M,A1
267,197,Gowramma Poojary,28,F,A1
268,198,Puttaswamy,25,M,A1
269,199,Mohan Iyengar,48,M,A1
270,199,Malathi,32,F,A2
271,199,Radha Naik,30,F,A3
272,199,Girish Setty,38,M,A4
273,200,Suresh Bhat,41,M,A1
274,202,Muniraju Bhat,36,M,A1
275,202,Sunitha Naidu,43,F,A2
276,202,Ganesh Naidu,58,M,A3
277,202,Padma Kumar,41,F,A4
278,202,Shivakumar,38,M,A5
279,203,Vijay Setty,40,M,A1
280,204,Shailaja Hegde,35,F,A1
281,205,Puneeth Naik,38,M,A1
282,206,Shivakumar,23,M,A1
283,207,Rajesh,51,M,A1
284,208,Girish Shetty,65,M,A1
285,209,Kavitha Achar,62,F,A1
286,210,Sanjay Setty,18,M,A1
287,211,Manjula,50,F,A1
288,211,Srinivas Nayak,24,M,A2
289,211,Chandrappa Kamath,40,M,A3
290,211,Vani Iyengar,30,F,A4
291,212,Rekha Setty,46,F,A1
292,214,Prakash,55,M,A1
293,215,Shailaja Gowda,37,F,A1
294,216,Harish Iyengar,59,M,A1
295,217,Srinivas Iyengar,42,M,A1
296,218,Mohan Poojary,31,M,A1
297,219,Byrappa Kamath,31,M,A1
298,220,Rekha,51,F,A1
299,221,Jayanthi Nayak,42,F,A1
300,222,Nagaraj Reddy,46,M,A1
301,222,Manjunath Kamath,30,M,A2
302,222,Devamma Poojary,61,F,A3
303,222,Radha,64,F,A4
304,222,Sunitha,27,F,A5
305,223,Ganesh Kamath,52,M,A1
306,224,Nagamma Nayak,48,F,A1
307,224,Yogesh Naik,19,M,A2
308,225,Rekha,45,F,A1
309,225,Suresh,60,M,A2
310,227,Ganesh Kumar,25,M,A1
311,228,Siddappa Rao,33,M,A1
312,229,Krishnappa Achar,49,M,A1
313,229,Vinod Rao,51,M,A2
314,230,Rekha Naik,25,F,A1
315,230,Manjunath Poojary,49,M,A2
316,230,Nagamma Kumar,33,F,A3
317,231,Usha Hegde,59,F,A1
318,231,Prasad Setty,60,M,A2
319,232,Pushpa Kumar,39,F,A1
320,233,Roopa Nayak,59,F,A1
321,233,Basavaraj,50,M,A2
322,234,Yamuna Naik,59,F,A1
323,235,Prakash Kumar,38,M,A1
324,235,Deepa Achar,43,F,A2
