ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Puttamma Nayak,77,8,5,4,F
2,2,Mahesh Shetty,58,8,3,3,M
3,3,Shailaja Reddy,62,10,4,8,F
4,4,Roopa Gowda,28,9,1,1,F
5,5,Lakshmi Nayak,56,6,4,4,F
6,6,Lakshmi Naidu,49,8,6,5,F
7,7,Basamma Naidu,77,12,3,6,F
8,8,Srinivas Shetty,19,7,1,5,M
9,9,Yamuna Gowda,72,4,2,1,F
10,10,Muniraju Naidu,43,10,6,4,T
11,11,Puneeth Iyengar,23,1,4,2,M
12,12,Sunitha Nayak,18,8,2,9,F
13,13,Shivakumar Kamath,64,11,4,2,M
14,14,Girish Bhat,18,1,2,3,T
15,15,Deepa Shetty,59,1,2,4,F
16,16,Yogesh Bhat,57,7,1,2,M
17,17,Lakshmi Setty,33,6,5,8,F
18,18,Deepa Rao,71,7,2,3,F
19,19,Vijay Naik,57,3,6,9,M
20,20,Pushpa Naidu,74,7,1,2,F
21,21,Vijay Poojary,34,5,4,8,M
22,22,Srinivas Rao,64,4,4,9,M
23,23,Vani Naik,22,4,6,1,F
24,24,Prakash Reddy,33,3,3,6,M
25,25,Savitha Rao,23,8,3,9,F
26,26,Suresh,20,6,6,5,M
27,27,Srinivas,58,2,6,5,M
28,27,Srinivas Nayak,22,9,3,1,M
29,28,Geetha Iyengar,63,6,1,8,F
30,29,Cheluvamma Gowda,44,8,5,1,F
31,30,Manjunath Naidu,55,2,1,2,M
32,31,Anitha Poojary,64,12,6,8,F
33,31,Ganesh,71,9,1,5,M
34,32,Vinod,32,10,6,8,M
35,33,Basavaraj Naik,37,9,2,6,M
36,34,Vijay Iyengar,75,7,6,5,M
37,35,Anand Naik,69,7,2,6,M
38,36,Ravindra Naidu,40,5,7,3,M
39,37,Rajesh Kamath,77,7,6,9,M
40,38,Siddappa Iyengar,71,2,7,1,M
41,39,Gowramma Achar,61,10,3,5,F
42,40,Geetha Poojary,59,8,2,1,F
43,41,Basavaraj Reddy,67,11,1,8,M
44,42,Cheluvamma Setty,58,2,6,4,F
45,43,Manjunath,29,9,6,1,M
46,44,Puttaswamy,40,10,7,3,M
47,45,Radha Naidu,75,7,6,7,F
48,46,Manjunath Poojary,58,9,5,9,M
49,47,Anitha Naik,47,2,6,2,F
50,48,Rekha,23,6,3,1,F
51,49,Yogesh,46,7,7,5,M
52,50,Srinivas Kamath,69,1,2,9,M
53,51,Pushpa Rao,26,9,6,9,F
54,52,Pushpa Naidu,78,4,4,9,F
55,53,Shailaja Kumar,53,9,5,9,F
56,54,Devamma Naik,72,5,7,3,F
57,55,Pushpa Naik,54,7,5,2,F
58,55,Mohan Gowda,56,9,1,9,M
59,56,Kavitha,54,2,6,3,F
60,57,Cheluvamma Poojary,44,5,2,8,F
61,58,Chandrappa,75,6,1,4,M
62,59,Shivakumar Gowda,34,1,2,3,M
63,60,Nagamma Setty,38,4,5,8,F
64,61,Devamma,25,10,3,4,F
65,62,Usha Kamath,19,9,5,3,F
66,63,Shailaja Naik,52,9,2,9,F
67,64,Nagamma Setty,32,3,3,6,F
68,65,Anand Shetty,67,3,2,3,M
69,66,Byrappa Kamath,24,9,7,3,M
70,67,Lakshmi Shetty,69,4,5,6,F
71,68,Gowramma,25,11,7,6,F
72,69,Cheluvamma Naidu,30,8,1,1,F
