EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
1,1,12,8,2,KGID207473,Naveen,1975-01-06,M,A-,0,1997-07-25
2,1,1,8,1,KGID688508,Naveen,1987-09-02,M,B-,0,2015-05-28
3,1,13,9,9,KGID944962,Girish,1977-06-24,M,B+,0,1998-07-15
4,1,2,12,6,KGID498382,Krishnamurthy,1980-02-06,M,A-,0,2002-03-25
5,1,7,12,6,KGID182627,Nandini,1989-01-20,F,O+,0,2011-06-10
6,1,11,11,10,KGID338968,Yogesh,1968-02-14,M,O+,1,1989-08-14
7,1,3,5,4,KGID488162,Rajesh,1993-07-08,M,O-,0,2018-08-05
8,1,4,8,5,KGID271339,Kumar,1988-12-17,M,AB-,0,2018-02-14
9,1,4,8,9,KGID961722,Mohan,1999-06-20,M,A+,0,2026-04-14
10,1,4,12,7,KGID787277,Girish,1997-03-16,M,AB-,0,2021-09-19
11,1,9,8,8,KGID375504,Naveen,1998-06-02,M,AB+,0,2025-09-12
12,1,2,12,7,KGID892495,Srinivas,1987-11-10,M,A+,0,2014-05-18
13,1,7,8,3,KGID500156,Jayanthi,1991-10-03,F,AB-,0,2013-06-14
14,1,13,8,9,KGID379786,Prakash,1995-08-01,M,O-,0,2022-08-03
15,1,9,11,7,KGID898975,Harish,1997-04-14,M,B+,0,2021-03-22
16,1,3,8,2,KGID492077,Malathi,1992-04-26,F,B+,0,2015-07-14
17,1,6,8,9,KGID972064,Sanjay,1965-11-16,M,O+,0,1988-02-12
18,1,9,5,4,KGID903035,Sanjay,1968-02-08,M,B+,0,1997-08-14
19,1,4,8,8,KGID665492,Prasad,1992-03-18,M,B-,0,2017-12-10
20,1,4,12,7,KGID335612,Vijay,1985-04-03,M,A-,0,2007-08-06
21,1,11,10,10,KGID161733,Ravi,1968-03-09,M,B-,0,1997-02-09
22,1,8,9,1,KGID324643,Naveen,1977-06-29,M,B+,0,2005-12-24
23,1,2,11,10,KGID201639,Sanjay,1983-04-06,M,AB+,0,2006-05-19
24,1,11,12,7,KGID203198,Sunitha,1995-03-17,F,A+,0,2023-07-09
25,1,3,11,6,KGID542374,Ganesh,1989-01-21,M,B+,0,2015-01-27
26,1,1,5,4,KGID783823,Prasad,1989-09-08,M,A+,0,2011-10-09
27,1,1,5,4,KGID272634,Sanjay,1974-08-04,M,AB+,0,2000-01-27
