VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Usha,23,F,0
2,2,Byrappa Shetty,29,M,0
3,3,Rekha Bhat,28,F,0
4,4,Lakshmi Kumar,29,F,0
5,5,Srinivas Rao,27,M,0
6,6,Prakash Bhat,67,M,0
7,7,Jayanthi Naidu,37,F,0
8,8,Yogesh,14,M,0
9,9,Mahesh,36,M,0
10,10,Rajesh Naidu,49,M,0
11,11,Mahesh Iyengar,30,M,0
12,12,Ravindra,10,M,0
13,13,Chandru Hegde,79,M,0
14,14,Ramesh Hegde,31,M,0
15,15,Sanjay Nayak,10,M,0
16,16,Nagaraj Hegde,75,M,0
17,17,Pushpa Setty,73,F,0
18,18,Vijay Rao,19,M,0
19,19,Byrappa Kamath,76,M,0
20,20,Lokesh Shetty,57,M,0
21,21,Bhagya Achar,55,F,0
22,22,Usha Reddy,29,F,0
23,23,Mahesh Bhat,22,M,0
24,24,Shailaja,24,F,0
25,25,Puttamma,20,F,0
26,26,Chandrappa Naik,18,M,0
27,27,Rekha,10,F,0
28,28,Lakshmi Shetty,51,F,0
29,29,Manjunath Hegde,20,M,0
30,30,Ravindra,72,M,0
31,31,Vinod Rao,27,M,0
32,32,Naveen,14,M,0
33,33,Puneeth Iyengar,62,M,0
34,34,Puttamma Nayak,47,F,0
35,35,Anitha Shetty,70,F,0
36,36,Cheluvamma,49,F,0
37,37,Geetha Reddy,66,F,0
38,37,Geetha Nayak,49,F,0
39,38,Yogesh Shetty,45,M,0
40,39,Bhagya Poojary,63,F,1
41,40,Girish Kumar,37,M,0
42,41,Byrappa Nayak,76,M,0
43,42,Naveen,17,M,0
44,43,Krishnappa Gowda,7,M,0
45,44,Usha Kumar,37,F,0
46,45,Puttamma,44,F,0
47,46,Savitha Kumar,29,F,0
48,47,Chandrappa Rao,21,M,0
49,48,Shailaja,21,F,0
50,49,Lakshmi Nayak,43,F,0
51,50,Gowramma Iyengar,68,F,0
52,51,Malathi Poojary,28,F,0
53,52,Jayanthi Hegde,14,F,0
54,53,Radha Setty,13,F,0
55,54,Basamma Poojary,17,F,0
56,55,Lakshmi Nayak,27,F,0
57,56,Basamma Naidu,39,F,0
58,57,Ganesh Bhat,10,M,0
59,58,Chandrappa Shetty,72,M,0
60,59,Padma Bhat,43,F,0
61,60,Manjula Iyengar,77,F,0
62,61,Rekha Nayak,30,F,0
63,62,Rajesh Naidu,13,M,0
64,63,Rekha Bhat,75,F,0
65,64,Padma Kamath,63,F,0
66,65,Roopa Iyengar,31,F,0
67,66,Prakash Bhat,73,M,0
68,67,Chandru Setty,79,M,0
69,68,Krishnappa Poojary,15,M,0
70,69,Puneeth Kumar,16,M,1
71,70,Suresh Gowda,13,M,0
72,71,Manjula Gowda,44,F,0
73,72,Krishnappa Shetty,61,M,0
74,73,Basavaraj Bhat,44,M,0
75,74,Basamma,50,F,0
76,75,Prakash,16,M,0
77,76,Nagaraj Achar,10,M,0
78,77,Puneeth Kamath,72,M,0
79,78,Mohan Achar,38,M,0
80,79,Nagamma Reddy,62,F,0
81,80,Nandini,77,F,0
82,81,Mohan Nayak,31,M,0
83,82,Boregowda Shetty,67,M,0
84,83,Chandrappa,59,M,0
85,84,Puttaswamy Hegde,49,M,0
86,85,Shailaja,28,F,0
87,86,Suresh Rao,47,M,0
88,86,Ravindra Hegde,36,M,0
